"DR1ISUGR.Code.or.Value","DR1ISUGR.Value.Description","DR1ISUGR.Count","DR1ISUGR.Cumulative","DR1ISUGR.Skip.to.Item"
"0 to 690.16","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
