"LBXTPO.Code.or.Value","LBXTPO.Value.Description","LBXTPO.Count","LBXTPO.Cumulative","LBXTPO.Skip.to.Item"
"0.1 to 2376","Range of Values",6214,6214,NA
".","Missing",703,6917,NA
