"CVDS1S.Code.or.Value","CVDS1S.Value.Description","CVDS1S.Count","CVDS1S.Cumulative","CVDS1S.Skip.to.Item"
"2.1 to 3.7","Range of Values",3187,3187,NA
".","Missing",1476,4663,NA
