"RHD143.Code.or.Value","RHD143.Value.Description","RHD143.Count","RHD143.Cumulative","RHD143.Skip.to.Item"
"1","Yes",47,47,""
"2","No",677,724,"RHQ160"
"7","Refused",0,724,"RHQ160"
"9","Don't know",10,734,"RHQ160"
".","Missing",2884,3618,""
