"BMIHT.Code.or.Value","BMIHT.Value.Description","BMIHT.Count","BMIHT.Cumulative","BMIHT.Skip.to.Item"
"1","Could not obtain",37,37,NA
"3","Not straight",68,105,NA
".","Missing",9439,9544,NA
