"CVDR3SY.Code.or.Value","CVDR3SY.Value.Description","CVDR3SY.Count","CVDR3SY.Cumulative","CVDR3SY.Skip.to.Item"
"60 to 237","Range of Values",2156,2156,NA
".","Missing",2996,5152,NA
