"WTMREP29.Code.or.Value","WTMREP29.Value.Description","WTMREP29.Count","WTMREP29.Cumulative","WTMREP29.Skip.to.Item"
"0 to 263108.33395","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
