"SIAPROXY.Code.or.Value","SIAPROXY.Value.Description","SIAPROXY.Count","SIAPROXY.Cumulative","SIAPROXY.Skip.to.Item"
"1","Yes",4252,4252,NA
"2","No",6094,10346,NA
".","Missing",2,10348,NA
