"RFXT061.Code.or.Value","RFXT061.Value.Description","RFXT061.Count","RFXT061.Cumulative","RFXT061.Skip.to.Item"
"522 to 531","Range of Values",33699,33699,NA
".","Missing",22,33721,NA
