"DR2TVD.Code.or.Value","DR2TVD.Value.Description","DR2TVD.Count","DR2TVD.Cumulative","DR2TVD.Skip.to.Item"
"0 to 60.6","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
