"LBXPFHP.Code.or.Value","LBXPFHP.Value.Description","LBXPFHP.Count","LBXPFHP.Cumulative","LBXPFHP.Skip.to.Item"
"0.07 to 1.3","Range of Values",2168,2168,NA
".","Missing",171,2339,NA
