"FSD670ZW.Code.or.Value","FSD670ZW.Value.Description","FSD670ZW.Count","FSD670ZW.Cumulative","FSD670ZW.Skip.to.Item"
"1 to 48","Range of Values",71,71,NA
"666","60 or more months",1,72,NA
"777","Refused",0,72,NA
"999","Don't know",0,72,NA
".","Missing",10103,10175,NA
