"DRD370MQ.Code.or.Value","DRD370MQ.Value.Description","DRD370MQ.Count","DRD370MQ.Cumulative","DRD370MQ.Skip.to.Item"
"1 to 25","Range of Values",1715,1715,NA
".","Missing",7623,9338,NA
