"AUXTPVR.Code.or.Value","AUXTPVR.Value.Description","AUXTPVR.Count","AUXTPVR.Cumulative","AUXTPVR.Skip.to.Item"
"0.2 to 3.2","Range of Values",1129,1129,NA
"777","Refused",1,1130,NA
"888","Could not obtain",7,1137,NA
".","Missing",73,1210,NA
