"DR2ISODI.Code.or.Value","DR2ISODI.Value.Description","DR2ISODI.Count","DR2ISODI.Cumulative","DR2ISODI.Skip.to.Item"
"0 to 8073","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
