"DRD300.Code.or.Value","DRD300.Value.Description","DRD300.Count","DRD300.Cumulative","DRD300.Skip.to.Item"
"1","Much more than usual",939,939,NA
"2","Usual",6435,7374,NA
"3","Much less than usual",2548,9922,NA
"7","Refused",0,9922,NA
"9","Don't know",19,9941,NA
".","Missing",536,10477,NA
