"DS1TZINC.Code.or.Value","DS1TZINC.Value.Description","DS1TZINC.Count","DS1TZINC.Cumulative","DS1TZINC.Skip.to.Item"
"0 to 152.5","Range of Values",1778,1778,NA
".","Missing",8475,10253,NA
