"DUQ310Q.Code.or.Value","DUQ310Q.Value.Description","DUQ310Q.Count","DUQ310Q.Cumulative","DUQ310Q.Skip.to.Item"
"1 to 35","Range of Values",62,62,NA
"7777","Refused",0,62,NA
"9999","Don't know",0,62,NA
".","Missing",4781,4843,NA
