"VIXKLM2.Code.or.Value","VIXKLM2.Value.Description","VIXKLM2.Count","VIXKLM2.Cumulative","VIXKLM2.Skip.to.Item"
"5.15 to 9.23","Range of Values",6460,6460,NA
"88","Could not obtain",67,6527,NA
".","Missing",453,6980,NA
