"DR1TFIBE.Code.or.Value","DR1TFIBE.Value.Description","DR1TFIBE.Count","DR1TFIBE.Cumulative","DR1TFIBE.Skip.to.Item"
"0 to 107.6","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
