"LBCPDT.Code.or.Value","LBCPDT.Value.Description","LBCPDT.Count","LBCPDT.Cumulative","LBCPDT.Skip.to.Item"
"0.0042 to 3.5924","Range of Values",247,247,NA
".","Missing",0,247,NA
