"DS1ITFAT.Code.or.Value","DS1ITFAT.Value.Description","DS1ITFAT.Count","DS1ITFAT.Cumulative","DS1ITFAT.Skip.to.Item"
"0.3 to 15","Range of Values",549,549,NA
".","Missing",4821,5370,NA
