"MCQ365a.Code.or.Value","MCQ365a.Value.Description","MCQ365a.Count","MCQ365a.Cumulative","MCQ365a.Skip.to.Item"
"1","Yes",1682,1682,NA
"2","No",4781,6463,NA
"7","Refused",0,6463,NA
"9","Don't know",1,6464,NA
".","Missing",3306,9770,NA
