"SXQ130.Code.or.Value","SXQ130.Value.Description","SXQ130.Count","SXQ130.Cumulative","SXQ130.Skip.to.Item"
"1 to 63","Range of Values",189,189,NA
"77777","Refused",0,189,NA
"99999","Don't know",0,189,NA
".","Missing",4654,4843,NA
