"DR2IVD.Code.or.Value","DR2IVD.Value.Description","DR2IVD.Count","DR2IVD.Cumulative","DR2IVD.Skip.to.Item"
"0 to 96.6","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
