"LBDF02LC.Code.or.Value","LBDF02LC.Value.Description","LBDF02LC.Count","LBDF02LC.Cumulative","LBDF02LC.Skip.to.Item"
"0","At or above the detection limit",78,78,NA
"1","Below lower detection limit",168,246,NA
".","Missing",18,264,NA
