"HEQ040.Code.or.Value","HEQ040.Value.Description","HEQ040.Count","HEQ040.Cumulative","HEQ040.Skip.to.Item"
"1","Yes",24,24,NA
"2","No",47,71,NA
"7","Refused",0,71,NA
"9","Don't know",5,76,NA
".","Missing",8496,8572,NA
