"WBXF012.Code.or.Value","WBXF012.Value.Description","WBXF012.Count","WBXF012.Cumulative","WBXF012.Skip.to.Item"
"471.9372 to 471.9372","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
