"DUQ220Q.Code.or.Value","DUQ220Q.Value.Description","DUQ220Q.Count","DUQ220Q.Cumulative","DUQ220Q.Skip.to.Item"
"0 to 369","Range of Values",1708,1708,NA
"7777","Refused",3,1711,NA
"9999","Don't know",2,1713,NA
".","Missing",3130,4843,NA
