"MCQ300b.Code.or.Value","MCQ300b.Value.Description","MCQ300b.Count","MCQ300b.Cumulative","MCQ300b.Skip.to.Item"
"1","Yes",2050,2050,NA
"2","No",6361,8411,NA
"7","Refused",3,8414,NA
"9","Don't know",158,8572,NA
".","Missing",1198,9770,NA
