"DS1TVB6.Code.or.Value","DS1TVB6.Value.Description","DS1TVB6.Count","DS1TVB6.Cumulative","DS1TVB6.Skip.to.Item"
"0.2 to 200","Range of Values",1903,1903,NA
".","Missing",8350,10253,NA
