"URXUMO.Code.or.Value","URXUMO.Value.Description","URXUMO.Count","URXUMO.Cumulative","URXUMO.Skip.to.Item"
"1.18 to 1023.13","Range of Values",3060,3060,NA
".","Missing",219,3279,NA
