"ACD080.Code.or.Value","ACD080.Value.Description","ACD080.Count","ACD080.Cumulative","ACD080.Skip.to.Item"
"1","United States, except Puerto Rico",574,574,NA
"2","Puerto Rico",30,604,NA
"4","Mexico",1130,1734,NA
"5","Other country",123,1857,NA
"10","El Salvador",30,1887,NA
"77","Refused",0,1887,NA
"99","Don't know",8,1895,NA
".","Missing",5449,7344,NA
