"WBXP081.Code.or.Value","WBXP081.Value.Description","WBXP081.Count","WBXP081.Cumulative","WBXP081.Skip.to.Item"
"-167.8347 to 172.9496","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
