"AUDTYL04.Code.or.Value","AUDTYL04.Value.Description","AUDTYL04.Count","AUDTYL04.Cumulative","AUDTYL04.Skip.to.Item"
"0 to 1.63","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
