"DS2TIRON.Code.or.Value","DS2TIRON.Value.Description","DS2TIRON.Count","DS2TIRON.Cumulative","DS2TIRON.Skip.to.Item"
"0.04 to 300","Range of Values",682,682,NA
".","Missing",8862,9544,NA
