"PFQ048.Code.or.Value","PFQ048.Value.Description","PFQ048.Count","PFQ048.Cumulative","PFQ048.Skip.to.Item"
"1","Yes",654,654,""
"2","No",4750,5404,"PFQ056"
"7","Refused",0,5404,"PFQ056"
"9","Don't know",6,5410,"PFQ056"
".","Missing",5060,10470,""
