"LBDBCDSI.Code.or.Value","LBDBCDSI.Value.Description","LBDBCDSI.Count","LBDBCDSI.Cumulative","LBDBCDSI.Skip.to.Item"
"1.78 to 75.62","Range of Values",7970,7970,NA
".","Missing",862,8832,NA
