"PSQ280.Code.or.Value","PSQ280.Value.Description","PSQ280.Count","PSQ280.Cumulative","PSQ280.Skip.to.Item"
"1","True",52,52,NA
"2","False",4,56,NA
"7","Refused",0,56,NA
"9","Don't know",11,67,NA
".","Missing",54,121,NA
