"RDQ134.Code.or.Value","RDQ134.Value.Description","RDQ134.Count","RDQ134.Cumulative","RDQ134.Skip.to.Item"
"1","Yes",782,782,NA
"2","No",547,1329,NA
"7","Refused",0,1329,NA
"9","Don't know",3,1332,NA
".","Missing",8313,9645,NA
