"LBDMPAHL.Code.or.Value","LBDMPAHL.Value.Description","LBDMPAHL.Count","LBDMPAHL.Cumulative","LBDMPAHL.Skip.to.Item"
"0","At or above the detection limit",1459,1459,NA
"1","Below lower detection limit",641,2100,NA
".","Missing",194,2294,NA
