"WBXP061.Code.or.Value","WBXP061.Value.Description","WBXP061.Count","WBXP061.Cumulative","WBXP061.Skip.to.Item"
"-176.0875 to 148.9714","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
