"SMD415B.Code.or.Value","SMD415B.Value.Description","SMD415B.Count","SMD415B.Cumulative","SMD415B.Skip.to.Item"
"1","1",194,194,NA
"2","2 or More",19,213,NA
".","Missing",9909,10122,NA
