"DRD350A.Code.or.Value","DRD350A.Value.Description","DRD350A.Count","DRD350A.Cumulative","DRD350A.Skip.to.Item"
"1","Yes",356,356,""
"2","No",2949,3305,"DRD350B"
".","Missing",5399,8704,""
