"BPXOSY1.Code.or.Value","BPXOSY1.Value.Description","BPXOSY1.Count","BPXOSY1.Cumulative","BPXOSY1.Skip.to.Item"
"52 to 219","Range of Values",6143,6143,NA
".","Missing",989,7132,NA
