"SSAMH.Code.or.Value","SSAMH.Value.Description","SSAMH.Count","SSAMH.Cumulative","SSAMH.Skip.to.Item"
"0.044 to 157.638","Range of Values",503,503,NA
".","Missing",19,522,NA
