"LBDSGBSI.Code.or.Value","LBDSGBSI.Value.Description","LBDSGBSI.Count","LBDSGBSI.Cumulative","LBDSGBSI.Skip.to.Item"
"6 to 70","Range of Values",6252,6252,NA
".","Missing",492,6744,NA
