"DS2ICALC.Code.or.Value","DS2ICALC.Value.Description","DS2ICALC.Count","DS2ICALC.Cumulative","DS2ICALC.Skip.to.Item"
"1.5 to 4000","Range of Values",2382,2382,NA
".","Missing",3266,5648,NA
