"DRXTP183.Code.or.Value","DRXTP183.Value.Description","DRXTP183.Count","DRXTP183.Cumulative","DRXTP183.Skip.to.Item"
"0 to 12.6","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
