"AUXTCOMR.Code.or.Value","AUXTCOMR.Value.Description","AUXTCOMR.Count","AUXTCOMR.Cumulative","AUXTCOMR.Skip.to.Item"
"0 to 4.2","Range of Values",1889,1889,NA
"777","Refused",5,1894,NA
"888","Could not obtain",0,1894,NA
".","Missing",152,2046,NA
