"DMDBORN.Code.or.Value","DMDBORN.Value.Description","DMDBORN.Count","DMDBORN.Cumulative","DMDBORN.Skip.to.Item"
"1","Born in 50 US States or Washington, DC",8670,8670,NA
"2","Born in Mexico",805,9475,NA
"3","Born Elsewhere",645,10120,NA
"7","Refused",2,10122,NA
"9","Don't know",0,10122,NA
".","Missing",0,10122,NA
