"BMXWT.Code.or.Value","BMXWT.Value.Description","BMXWT.Count","BMXWT.Cumulative","BMXWT.Skip.to.Item"
"2.7 to 239.4","Range of Values",10162,10162,NA
".","Missing",91,10253,NA
