"FSD225.Code.or.Value","FSD225.Value.Description","FSD225.Count","FSD225.Cumulative","FSD225.Skip.to.Item"
"0 to 284","Range of Values",2712,2712,NA
"55555","More than 300 days",14,2726,NA
"77777","Refused",21,2747,NA
"99999","Don't know",230,2977,NA
".","Missing",6994,9971,NA
