"URDMPBLC.Code.or.Value","URDMPBLC.Value.Description","URDMPBLC.Count","URDMPBLC.Cumulative","URDMPBLC.Skip.to.Item"
"0","At or above the detection limit",2524,2524,NA
"1","Below lower detection limit",24,2548,NA
".","Missing",90,2638,NA
