"DUQ380A.Code.or.Value","DUQ380A.Value.Description","DUQ380A.Count","DUQ380A.Cumulative","DUQ380A.Skip.to.Item"
"1","Cocaine",54,54,NA
"7","Refused",0,54,NA
"9","Don't know",0,54,NA
".","Missing",4518,4572,NA
