"CIQD017.Code.or.Value","CIQD017.Value.Description","CIQD017.Count","CIQD017.Cumulative","CIQD017.Skip.to.Item"
"1","Yes",29,29,""
"2","No",0,29,"CIDDSCOR"
"7","Refuse",0,29,"CIDDSCOR"
"9","Don't know",0,29,"CIDDSCOR"
".","Missing",899,928,""
