"URDFLOW3.Code.or.Value","URDFLOW3.Value.Description","URDFLOW3.Count","URDFLOW3.Cumulative","URDFLOW3.Skip.to.Item"
"0 to 7.938","Range of Values",87,87,NA
".","Missing",8504,8591,NA
