"URDTIME3.Code.or.Value","URDTIME3.Value.Description","URDTIME3.Count","URDTIME3.Cumulative","URDTIME3.Skip.to.Item"
"13 to 150","Range of Values",46,46,NA
".","Missing",8562,8608,NA
