"DR1TFOLA.Code.or.Value","DR1TFOLA.Value.Description","DR1TFOLA.Count","DR1TFOLA.Cumulative","DR1TFOLA.Skip.to.Item"
"1 to 2457","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
