"WHD100T.Code.or.Value","WHD100T.Value.Description","WHD100T.Count","WHD100T.Cumulative","WHD100T.Skip.to.Item"
"46","Ate less junk food or fast food",146,146,NA
".","Missing",6029,6175,NA
