"DR2TVARA.Code.or.Value","DR2TVARA.Value.Description","DR2TVARA.Count","DR2TVARA.Cumulative","DR2TVARA.Skip.to.Item"
"0 to 19373","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
