"URXUDMA.Code.or.Value","URXUDMA.Value.Description","URXUDMA.Count","URXUDMA.Cumulative","URXUDMA.Skip.to.Item"
"1.35 to 181.55","Range of Values",2825,2825,NA
".","Missing",154,2979,NA
