"LBCBR4.Code.or.Value","LBCBR4.Value.Description","LBCBR4.Count","LBCBR4.Cumulative","LBCBR4.Skip.to.Item"
"1.8 to 78.9","Range of Values",247,247,NA
".","Missing",0,247,NA
