"DR1TVB2.Code.or.Value","DR1TVB2.Value.Description","DR1TVB2.Count","DR1TVB2.Cumulative","DR1TVB2.Skip.to.Item"
"0 to 20.644","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
